"Date and time","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-08-12T04:00:00+0900,0.4,2,40.6,24.5,478,14.3,13.8
2024-08-12T03:50:00+0900,0.4,2,40.7,24.4,520,14.1,13.8
2024-08-12T03:40:00+0900,0.4,2,40.7,24.5,564,14,13.8
2024-08-12T03:30:00+0900,0.4,2,40.7,24.5,642,13.9,13.8
2024-08-12T03:20:00+0900,0.4,2,40.8,24.4,256,13.8,13.8
2024-08-12T03:10:00+0900,0.4,2,40.8,24.5,698,13.8,13.8
2024-08-12T03:00:00+0900,0.4,2,40.7,24.6,720,13.6,13.8
2024-08-12T02:50:00+0900,0.4,2,40.9,24.5,742,13.6,13.8
2024-08-12T02:40:00+0900,0.4,2,40.7,24.5,746,13.4,13.8
2024-08-12T02:30:00+0900,0.4,2,40.8,24.5,676,13.3,13.8
2024-08-12T02:20:00+0900,0.4,2,40.7,24.4,796,13.3,13.8
2024-08-12T02:10:00+0900,0.4,2,40.7,24.4,856,13.1,13.8
2024-08-12T02:00:00+0900,0.4,2,40.7,24.5,564,13.1,13.8
2024-08-12T01:50:00+0900,0.4,2,40.7,24.4,224,12.9,13.8
2024-08-12T01:40:00+0900,0.4,2,40.7,24.4,556,12.8,13.9
2024-08-12T01:30:00+0900,0.4,2,40.8,24.4,166,12.7,13.9
2024-08-12T01:20:00+0900,0.4,2,40.7,24.4,170,12.6,13.9
2024-08-12T01:10:00+0900,0.4,2,40.8,24.3,996,12.5,13.9
2024-08-12T01:00:00+0900,0.4,2,40.7,24.4,958,12.4,13.9
2024-08-12T00:50:00+0900,0.4,2,40.8,24.5,524,12.3,13.9
2024-08-12T00:40:00+0900,0.4,2,40.8,24.4,222,12.1,13.9
2024-08-12T00:30:00+0900,0.4,2,40.8,24.5,364,12,13.9
2024-08-12T00:20:00+0900,0.4,2,40.8,24.4,928,11.9,13.9
2024-08-12T00:10:00+0900,0.4,2,40.7,24.4,492,11.8,13.9
2024-08-12T00:00:00+0900,0.4,2,40.8,24.4,972,11.6,13.9
2024-08-11T23:50:00+0900,0.4,2,40.8,24.4,932,11.5,13.9
2024-08-11T23:40:00+0900,0.4,2,40.9,24.3,914,11.4,14
2024-08-11T23:30:00+0900,0.4,2,40.8,24.3,848,11.3,14
2024-08-11T23:20:00+0900,0.4,2,40.8,24.4,832,11.2,14
2024-08-11T23:10:00+0900,0.4,2,41,24.4,772,11.1,14
2024-08-11T23:00:00+0900,0.4,2,40.8,24.4,770,11.1,14.1
2024-08-11T22:50:00+0900,0.4,2,41,24.3,742,11,14.1
2024-08-11T22:40:00+0900,0.4,2,41.1,24.4,724,10.9,14.1
2024-08-11T22:30:00+0900,0.4,2,41.1,24.4,698,10.9,14.1
2024-08-11T22:20:00+0900,0.4,2,41,24.4,670,10.8,14.1
2024-08-11T22:10:00+0900,0.4,2.1,41.1,24.2,642,10.8,14.1
2024-08-11T22:00:00+0900,0.4,2,41.1,24.4,614,10.8,14.1
2024-08-11T21:50:00+0900,0.4,2,41.2,24.4,584,10.8,14.1
2024-08-11T21:40:00+0900,0.4,2,41.2,24.4,554,10.8,14.1
2024-08-11T21:30:00+0900,0.4,2.1,41.1,24.3,522,10.8,14.2
2024-08-11T21:20:00+0900,0.4,2,41.3,24.4,486,10.8,14.2
2024-08-11T21:10:00+0900,0.4,2.1,41.4,24.3,452,10.8,14.2
2024-08-11T21:00:00+0900,0.4,2,41.3,24.4,416,10.8,14.2
2024-08-11T20:50:00+0900,0.4,2.1,41.2,24.3,378,10.8,14.2
2024-08-11T20:40:00+0900,0.4,2,40.9,24.4,340,10.9,14.3
2024-08-11T20:30:00+0900,0.4,2,41,24.4,302,10.9,14.3
2024-08-11T20:20:00+0900,0.4,2,41,24.4,264,10.9,14.3
2024-08-11T20:10:00+0900,0.4,2,40.9,24.5,270,10.9,14.3
2024-08-11T20:00:00+0900,0.4,2,40.9,24.5,176,11,14.3
2024-08-11T19:50:00+0900,0.4,2,40.9,24.4,140,11,14.3
2024-08-11T19:40:00+0900,0.4,2,40.8,24.4,104,11.1,14.3
2024-08-11T19:30:00+0900,0.4,2,40.8,24.4,70,11.1,14.3
2024-08-11T19:20:00+0900,0.4,2,41,24.3,40,11.1,14.3
2024-08-11T19:10:00+0900,0.4,2.1,40.7,24.3,6,11.2,14.3
2024-08-11T19:00:00+0900,0.4,2.1,40.9,24.3,2,11.2,14.4
2024-08-11T18:50:00+0900,0.4,2.1,40.8,24.3,0,11.3,14.4
2024-08-11T18:40:00+0900,0.4,2,40.8,24.4,0,11.3,14.4
2024-08-11T18:30:00+0900,0.4,2.1,40.9,24.2,0,11.3,14.4
2024-08-11T18:20:00+0900,0.4,2,41,24.4,0,11.4,14.4
2024-08-11T18:10:00+0900,0.4,2,40.9,24.4,0,11.4,14.4
2024-08-11T18:00:00+0900,0.4,2.1,41,24.3,0,11.4,14.4
2024-08-11T17:50:00+0900,0.4,2,41,24.4,0,11.5,14.4
